rank	path	bestseller	price	liked_count	published_at	suspending
3269	numani/various-state-patterns	False	0	61	2022-12-10T11:39:41.926+09:00	False
3270	4geru/advent-calendar-2022-day-4	False	0	12	2022-12-04T09:02:27.801+09:00	False
3271	g000001/fa0a9864ccc100	False	200	1	2022-12-04T04:24:58.364+09:00	False
3272	t_furu/2ad921a4fe701b	False	0	3	2022-12-03T23:03:07.800+09:00	False
3273	mikakane/nestjs-tutorial	False	0	89	2022-12-02T20:28:08.352+09:00	False
3274	akitk/2a4e2b20a0ee31	False	0	27	2022-12-02T20:27:33.660+09:00	False
3275	tbpgr/b956473925c315	False	0	72	2022-12-01T00:39:12.517+09:00	False
3276	koshin/e66bad97d51fc5	False	0	3	2022-11-30T00:11:23.262+09:00	False
3277	yaakiyu_s/discord_py_starter	False	0	1	2022-11-29T16:55:08.056+09:00	False
3278	yaakiyu_s/discord_py_master	False	0	1	2022-11-29T16:55:07.468+09:00	False
3279	hayasi/f8851919e46400	False	0	0	2022-11-28T14:41:04.846+09:00	False
3280	inatonix/ea3a02b5264df5	False	0	55	2022-11-23T22:59:01.991+09:00	False
3281	g000001/dfc53065cd8b14	False	200	2	2022-11-23T04:22:26.883+09:00	False
3282	g000001/78200184140a13	False	200	0	2022-11-23T00:54:06.692+09:00	False
3283	g000001/296ba0cb235595	False	200	0	2022-11-23T00:40:39.390+09:00	False
3284	g000001/3bdb2404ae1919	False	200	1	2022-11-23T00:17:15.201+09:00	False
3285	g000001/3fbd0ed01b5362	False	300	0	2022-11-22T22:42:52.067+09:00	False
3286	g000001/1268ca934b4485	False	200	1	2022-11-22T22:22:14.305+09:00	False
3287	arafipro/python-plotly-chart	False	0	7	2022-11-22T15:33:49.955+09:00	False
3288	lastmileworks/comonysdk-ja	False	0	1	2022-11-21T16:38:43.136+09:00	False
3289	arafipro/laravel-vue-relation	False	0	2	2022-11-20T10:44:08.745+09:00	False
3290	arafipro/flutter-dog-list-app-ui	False	0	8	2022-11-19T16:51:49.979+09:00	False
3291	hotaltrip/b6d12a7a96e26e	False	500	5	2022-11-17T15:48:10.458+09:00	False
3292	tbpgr/4b1b1bd89c52d2	False	0	119	2022-11-16T08:56:02.245+09:00	False
3293	alkn203/phina-tutorial-minesweeper	False	0	0	2022-11-15T23:00:02.633+09:00	False
3294	alkn203/phina-tutorial-15puzzle	False	0	2	2022-11-15T01:37:34.756+09:00	False
3295	jinwatanabe/fda82594b5a2e8	False	0	5	2022-11-14T21:49:31.269+09:00	False
3296	k_tabuchi/6281341c0cc15f	False	0	0	2022-11-13T15:48:21.046+09:00	False
3297	jflabo/95914b28cc1f19	False	1000	0	2022-11-13T12:03:52.552+09:00	False
3298	cota_hu/marp-beginner-advanced	False	0	346	2022-11-12T15:47:41.870+09:00	False
3299	uchidaryo/ubuntu-2204-server-book	False	0	175	2022-11-07T09:54:58.394+09:00	False
3300	knaka0209/96eca53ecdb2cd	False	0	36	2022-11-07T09:05:59.789+09:00	False
3301	uramnoil/5e65783ed179eb	False	0	18	2022-11-06T22:08:52.072+09:00	False
3302	arkbig/devbase-2022_b1b24e6e8db350a1f7f379af3833e90d79ad5	False	500	23	2022-11-04T06:58:58.065+09:00	False
3303	ryuz88/zynqmp_study	False	0	36	2022-11-03T11:37:41.210+09:00	False
3304	zenizeni/a64578f98450c2	False	0	391	2022-11-03T08:47:11.622+09:00	False
3305	sum0/5c2210a758e169	False	0	6	2022-11-03T03:59:28.231+09:00	False
3306	y_mrok/ansible-no-module-no-tsukaikata	False	0	94	2022-10-29T20:40:27.514+09:00	False
3307	hmatsu47/aurora-mysql-do-book	False	0	9	2022-10-28T14:01:47.870+09:00	False
3308	hisho/617d8f9d6bd78b	False	0	298	2022-10-28T05:42:58.525+09:00	False
3309	himekoh/202210261312	False	0	98	2022-10-26T19:07:27.188+09:00	False
3310	shigeru_oda/5e5f5d8d3ddf3ba68bb7	False	0	34	2022-10-25T13:15:16.736+09:00	False
3311	sotaro116/tmnf-digi-hands-on	False	0	11	2022-10-24T02:29:26.599+09:00	False
3312	4geru/line-revup-2022-liff-line-bot-handson	False	0	23	2022-10-22T09:08:37.115+09:00	False
3313	ckoshien/3b1280861d0a13be189b	False	0	0	2022-10-19T13:09:24.114+09:00	False
3314	ckoshien/35bae114f304535208be	False	0	0	2022-10-19T13:09:22.936+09:00	False
3315	tmasuyama1114/ab51fea5d5f659	False	500	100	2022-10-16T17:02:17.499+09:00	False
3316	yosemat/bd28014f2e882e	False	0	17	2022-10-15T11:57:38.178+09:00	False
3317	joo_hashi/20dd2274ba88a9	False	0	14	2022-10-12T11:58:14.851+09:00	False
3318	stripe/workshop-amazon-eventbridge-no-code	False	0	23	2022-10-11T23:39:27.108+09:00	False
3319	joo_hashi/f9e042a25c3461	False	0	8	2022-10-11T10:26:00.342+09:00	False
3320	miyaji26/2c2d28781d44e6	False	200	2	2022-10-10T20:18:21.335+09:00	False
3321	hathle/django-render-book	False	0	36	2022-10-10T16:07:17.770+09:00	False
3322	ababup1192/3815d75f7da425	False	0	9	2022-10-09T23:39:32.741+09:00	False
3323	mimitako/python-awesome-graph	False	0	32	2022-10-09T20:01:22.994+09:00	False
3324	joo_hashi/b78da6bf581547	False	0	26	2022-10-09T15:38:50.253+09:00	False
3325	hathle/django-graphql-book	False	0	15	2022-10-09T10:47:08.372+09:00	False
3326	nukokoi/b2cd8a2544438f	False	0	8	2022-10-09T02:06:47.296+09:00	False
3327	serinuntius/080bd866532be4	False	0	2	2022-10-08T22:06:24.376+09:00	False
3328	farstep/7a6eb67dd3bf1f	False	0	335	2022-10-08T11:11:59.329+09:00	False
3329	yujisode/paleobio-collection_yscollection07_18	False	0	2	2022-10-06T22:32:36.236+09:00	False
3330	sosa/f9630698e58cfb	False	0	20	2022-10-06T18:49:50.034+09:00	False
3331	hathle/reactnative-tiktok-book	False	900	10	2022-10-06T15:43:58.064+09:00	False
3332	jiyuujin/monorepo-tutorial	False	300	13	2022-10-06T10:04:57.212+09:00	False
3333	hideki_climax/893fce619abc39	True	3900	170	2022-10-04T12:34:18.963+09:00	False
3334	skmkzyk/azure-virtual-network-design-idea	False	0	10	2022-10-03T13:09:30.027+09:00	False
3335	sdkfz181tiger/63a7aa5d928ac7	False	0	27	2022-09-30T06:55:34.559+09:00	False
3336	sosa/b9bb0c7307a797	False	0	10	2022-09-29T14:06:58.516+09:00	False
3337	ykpythemind/92dd8a41f270ba	False	0	35	2022-09-29T02:58:53.033+09:00	False
3338	minamin/8ae841d50d298b	False	0	2	2022-09-28T22:56:03.666+09:00	False
3339	idev/0bd30dae653453	False	1000	0	2022-09-27T11:46:45.936+09:00	False
3340	tetracalibers/6f855e758ac36e	False	1000	30	2022-09-24T18:07:31.226+09:00	False
3341	ponta/95e0984aa9dcbd	True	500	83	2022-09-20T15:06:58.477+09:00	False
3342	farstep/e37c0b6d404f83	True	1000	76	2022-09-20T13:25:08.943+09:00	False
3343	yamad365/b31e233d608c49	False	0	19	2022-09-19T23:28:08.677+09:00	False
3344	labocho/3bb4e81f1e80e3	False	500	5	2022-09-16T15:35:36.770+09:00	False
3345	voiscord/2e82d294150992	False	0	7	2022-09-12T17:39:48.971+09:00	False
3346	eagle/powershell-for-programmers	False	200	15	2022-09-11T23:57:11.996+09:00	False
3347	takanorip/1bda71a5f2affb	False	500	28	2022-09-10T18:20:00.404+09:00	False
3348	typebase/nextjs-prisma-graphql-codegen-webapp	True	1000	143	2022-09-10T09:25:45.891+09:00	False
3349	hagane/1b8e1bc5ab30f7	False	0	7	2022-09-09T21:30:56.366+09:00	False
3350	hideki_climax/3af4f0fd5b40a9	True	3900	161	2022-09-09T10:33:23.541+09:00	False
3351	takpon1751/d630fbfa4e03ac	False	200	19	2022-09-07T00:32:51.512+09:00	False
3352	mimitako/python-standard-book	False	0	18	2022-09-04T23:02:00.631+09:00	False
3353	motokoike/ef28866a3835cf	False	500	5	2022-09-04T06:49:08.437+09:00	False
3354	estra/ts-the-minimum	False	500	43	2022-09-02T20:26:56.875+09:00	False
3355	sdkfz181tiger/5fb7ad6afa3a5e	False	0	32	2022-08-30T23:58:01.099+09:00	False
3356	nekoallergy/deeplearning-advanced	False	2000	26	2022-08-28T12:00:20.638+09:00	False
3357	tomo_makes/4ed97f06d02a38	False	0	145	2022-08-27T11:56:54.570+09:00	False
3358	libertym/9bf2c7abd37965	False	500	0	2022-08-24T00:27:36.256+09:00	False
3359	gaomar/eee36b7bbfd695	False	0	11	2022-08-22T18:11:32.728+09:00	False
3360	libertym/a2a1f405efec7e	False	500	0	2022-08-21T20:33:37.396+09:00	False
3361	knaka0209/309e88eb52352b	False	0	15	2022-08-21T16:16:49.426+09:00	False
3362	masa0317/f1b2f614ce2bf4	False	1000	6	2022-08-21T08:50:32.014+09:00	False
